questionNumber;category;question;answer1;answer2;answer3;correctAnswerIndex;imageFileName
128;;¿Estar 17 horas despierto provoca tener el mismo nivel de reacción que una persona con un nivel de alcohol en sangre mayor al permitido por Ley?;Sí, ya que ambas condiciones aumentan el tiempo de reacción;No, ya que sólo tener alcoholemia positiva aumenta el tiempo de reacción;No, el descanso no tiene nada que ver con el consumo de alcohol;0;
130;;¿Cuáles de éstos son los síntomas que advierten sobre la fatiga en la conducción?;La sensación de euforia;La visión borrosa y el aumento del número y duración de parpadeos;No realizar movimientos en el asiento, ni cambios de postura;1;
131;;Un conductor principiante, ¿puede sentirse más fácilmente fatigado?;Sí, por la falta de experiencia en la conducción;No, porque todos somos iguales ante la Ley;Únicamente cuando se trata de una persona que padece de fatiga crónica;0;
132;;¿Por qué es peligroso conducir cansado?;Porque reduce la capacidad de reacción y aumenta el tiempo necesario para responder ante un estímulo;Porque se circula más rápido;Porque el viaje dura más;0;
133;;¿Qué consecuencias tiene conducir habiendo dormido pocas horas previamente?;Reduce la capacidad de reacción y el estado de alerta;Predispone a tomar malas decisiones, poniendo en riesgo la vida;Ambas respuestas, la A y la B, son correctas;2;
134;;Para evitar o retrasar la aparición de la fatiga, es aconsejable que el conductor:;Escuche música a alto volúmen;Mantenga el interior del vehículo a una temperatura superior a 25 °C;Mantenga bien ventilado el interior del vehículo;2;
135;;¿Puede afectar negativamente la conducción, si el acompañante comienza una discusión con el conductor o con otra persona de la vía pública?;Sólo si es con el conductor. Si la discusión es con otra persona, lo mantiene en alerta ya que la tensión evita la somnolencia;Sí, puede entorpecer su capacidad de atención al contexto, ya que las discusiones generan un estado de estrés;No genera ningún efecto, siempre y cuando el conductor esté en condiciones legales para conducir;1;
136;;Bajo los efectos del estrés, la conducción se vuelve:;Más temeraria;Menos segura;Ambas respuestas, A y B, son correctas;2;
137;;El estrés no necesariamente puede alterar las capacidades para conducir de manera segura;Verdadero;Falso;;1;
138;;¿Cuál es el tiempo promedio de reacción de un conductor desde que percibe un peligro hasta que acciona el freno?;Aproximadamente 1 segundo;Entre 2 y 3 segundos;Es inmediato, no transcurre tiempo entre estas acciones;0;
